EV, LA, Hits, Outs
59, -84, 4.0, 46.0
60, -84, 7.0, 43.0
61, -84, 11.0, 63.0
62, -84, 11.0, 40.0
63, -84, 12.0, 51.0
64, -84, 14.0, 54.0
65, -84, 11.0, 53.0
66, -84, 10.0, 57.0
67, -84, 8.0, 44.0
68, -84, 6.0, 51.0
69, -84, 7.0, 56.0
70, -84, 7.0, 53.0
71, -84, 9.0, 62.0
72, -84, 7.0, 55.0
73, -84, 5.0, 48.0
74, -84, 5.0, 48.0
75, -84, 6.0, 61.0
76, -84, 5.0, 46.0
77, -84, 12.0, 53.0
78, -84, 8.0, 48.0
79, -84, 12.0, 55.0
80, -84, 9.0, 49.0
81, -84, 9.0, 48.0
82, -84, 9.0, 44.0
83, -84, 8.0, 45.0
84, -84, 14.0, 48.0
85, -84, 8.0, 45.0
86, -84, 13.0, 43.0
87, -84, 15.0, 56.0
88, -84, 9.0, 43.0
89, -84, 14.0, 46.0
90, -84, 16.0, 39.0
91, -84, 20.0, 50.0
92, -84, 18.0, 43.0
93, -84, 16.0, 36.0
94, -84, 19.0, 46.0
95, -84, 18.0, 42.0
96, -84, 19.0, 47.0
97, -84, 18.0, 38.0
98, -84, 24.0, 43.0
99, -84, 17.0, 37.0
100, -84, 19.0, 45.0
101, -84, 15.0, 40.0
102, -84, 16.0, 49.0
103, -84, 14.0, 42.0
104, -84, 17.0, 46.0
105, -84, 9.0, 42.0
106, -84, 15.0, 49.0
107, -84, 14.0, 47.0
108, -84, 15.0, 47.0
109, -84, 13.0, 44.0
110, -84, 18.0, 45.0
111, -84, 16.0, 37.0
112, -84, 18.0, 43.0
113, -84, 20.0, 48.0
114, -84, 17.0, 40.0
115, -84, 23.0, 55.0
116, -84, 17.0, 44.0
117, -84, 15.0, 37.0
118, -84, 14.0, 40.0
119, -84, 20.0, 48.0
120, -84, 12.0, 44.0
121, -84, 12.0, 43.0
122, -84, 15.0, 35.0
123, -84, 14.0, 36.0
124, -84, 14.0, 39.0
0, -83, 6.0, 49.0
1, -83, 6.0, 48.0
2, -83, 8.0, 54.0
3, -83, 7.0, 50.0
4, -83, 8.0, 48.0
5, -83, 7.0, 48.0
6, -83, 6.0, 46.0
7, -83, 8.0, 51.0
8, -83, 5.0, 45.0
9, -83, 5.0, 46.0
10, -83, 5.0, 51.0
11, -83, 6.0, 57.0
12, -83, 7.0, 54.0
13, -83, 5.0, 56.0
14, -83, 5.0, 50.0
15, -83, 5.0, 47.0
16, -83, 5.0, 46.0
17, -83, 5.0, 45.0
18, -83, 5.0, 57.0
19, -83, 4.0, 52.0
20, -83, 3.0, 47.0
21, -83, 3.0, 57.0
22, -83, 4.0, 47.0
23, -83, 3.0, 53.0
24, -83, 6.0, 56.0
25, -83, 6.0, 63.0
26, -83, 5.0, 52.0
27, -83, 4.0, 47.0
28, -83, 4.0, 46.0
29, -83, 5.0, 55.0
30, -83, 7.0, 63.0
31, -83, 2.0, 51.0
32, -83, 2.0, 57.0
33, -83, 0.0, 57.0
34, -83, 1.0, 62.0
35, -83, 1.0, 63.0
36, -83, 1.0, 55.0
37, -83, 2.0, 53.0
38, -83, 2.0, 59.0
39, -83, 4.0, 57.0
40, -83, 6.0, 66.0
41, -83, 5.0, 48.0
42, -83, 6.0, 51.0
43, -83, 7.0, 52.0
44, -83, 7.0, 54.0
45, -83, 9.0, 51.0
46, -83, 6.0, 62.0
47, -83, 7.0, 73.0
48, -83, 8.0, 55.0
49, -83, 6.0, 59.0
50, -83, 5.0, 58.0
