Snyder, Brandon,474319,2016,47,11,1,5,1,4,34,2.1,.239,.260,32.4,50.9,,26.7
De Jesús Jr., Iván,474443,2016,243,56,45,10,0,1,21,7,.253,.258,21,45.1,4.49,25.9
Mercer, Jordy,474568,2016,584,133,97,22,3,11,14.2,8.7,.256,.245,15,43.5,4.33,27.6
Belt, Brandon,474832,2016,655,149,83,41,8,17,22.6,15.9,.275,.266,25.2,47.4,4.45,26.3
Borbon, Julio,474865,2016,15,4,4,0,0,0,20,0,.308,.209,21.4,68.3,,29.6
Carter, Chris,474892,2016,644,122,53,27,1,41,32,11.8,.222,.237,38.4,43.7,4.65,26.6
Van Slyke, Scott,475100,2016,113,23,16,6,0,1,21.2,4.4,.225,.277,25.1,47.6,4.49,27.2
Alonso, Yonder,475174,2016,532,122,81,34,0,7,13.9,8.5,.253,.259,17.6,46.4,4.81,24.6
Wood, Travis,475243,2016,12,2,2,0,0,0,41.7,8.3,.182,.199,38.1,43.8,,
Flaherty, Ryan,475247,2016,176,34,24,7,0,3,27.3,9.7,.217,.203,23.5,44.3,4.4,26.7
Smoak, Justin,475253,2016,341,65,41,10,0,14,32.8,11.7,.217,.226,29.6,45.2,4.94,24.3
Phelps, David,475479,2016,13,2,2,0,0,0,23.1,0,.182,.215,13,47.9,,
Zimmerman, Ryan,475582,2016,467,93,59,18,1,15,22.3,6.2,.218,.246,24,43.7,4.45,27.1
Hellickson, Jeremy,476451,2016,66,9,8,1,0,0,36.4,6.1,.167,.153,19.7,44.2,,23.9
Lowrie, Jed,476704,2016,369,89,74,12,1,2,17.6,7,.263,.250,17.9,46.3,4.64,25.5
Álvarez, Pedro,476883,2016,376,84,42,20,0,22,25.8,9.8,.249,.262,32,45.9,4.58,25.2
Niese, Jonathon,477003,2016,34,3,2,1,0,0,41.2,5.9,.100,.070,17.5,37.7,,23.4
Kershaw, Clayton,477132,2016,50,8,7,1,0,0,24,2,.174,.165,21.4,45.2,4.51,25.6
Wallace, Brett,477165,2016,256,41,25,10,0,6,32.4,11.3,.189,.203,34,41.4,4.76,24.9
Davis, Ike,477195,2016,15,3,3,0,0,0,33.3,6.7,.214,.189,33.3,58.8,,22.7
Carrera, Ezequiel,485567,2016,310,67,51,9,1,6,22.6,8.7,.248,.222,22,43.9,4.15,28.2
Avila, Alex,488671,2016,209,36,23,6,0,7,37.3,18.2,.213,.199,38.4,36.8,4.8,24.2
Barnes, Brandon,488681,2016,109,22,14,6,2,0,27.5,2.8,.220,.240,29,56.4,4.3,27.9
Bourjos, Peter,488721,2016,383,89,57,20,7,5,23.8,4.4,.251,.227,28.4,54.2,4.11,29.5
Brantley Jr., Michael,488726,2016,43,9,7,2,0,0,14,7,.231,.231,10.4,45.3,,25.1
Cashner, Andrew,488768,2016,40,6,6,0,0,0,32.5,7.5,.176,.123,19.2,51.8,,27.8
Castro, Jason,488771,2016,376,69,39,16,3,11,32.7,12,.210,.219,31.6,43.9,4.46,26.6
d'Arnaud, Chase,488818,2016,262,57,40,14,2,1,19.1,8.8,.245,.231,22.3,44.1,4.06,29.1
Escobar, Yunel,488862,2016,567,157,123,28,1,5,11.8,7.1,.304,.279,16.7,48.7,4.6,25.6
Gosewisch, Tuffy,488912,2016,99,14,9,1,1,3,22.2,7.1,.156,.190,20.1,46.3,4.73,25.1
Miley, Wade,489119,2016,12,2,2,0,0,0,16.7,0,.182,.132,4.3,46,,22.0
Morrison, Logan,489149,2016,398,84,51,18,1,14,22.4,9.3,.238,.260,24.3,46.6,4.49,26.8
Recker, Anthony,489232,2016,112,25,15,8,0,2,19.6,14.3,.278,.310,27.5,36.2,4.42,26.8
Rosales, Adam,489267,2016,248,49,21,12,3,13,35.5,11.7,.229,.202,35.7,42.7,4.34,28.1
Scruggs, Xavier,489305,2016,69,13,9,3,0,1,29,7.2,.210,.218,29.5,41.3,4.66,26.1
Thole, Josh,489365,2016,136,20,16,3,0,1,20.6,9.6,.169,.191,17.5,44.1,4.95,23.2
Garza, Matt,490063,2016,33,1,1,0,0,0,51.5,6.1,.036,.056,44.9,59,,25.5
Hernández, Gorkys,491676,2016,57,14,7,5,0,2,19.3,5.3,.259,.273,22.7,49.3,4.28,28.5
Sucre, Jesús,491696,2016,29,12,9,2,0,1,17.2,6.9,.480,.333,27.3,40.7,,24.8
Graterol, Juan,492802,2016,15,4,2,2,0,0,20,0,.286,.201,16.1,57.4,,23.3
Martinez, Michael,492841,2016,106,24,19,4,0,1,21.7,3.8,.238,.197,22.6,56.9,4.22,27.7
Aoki, Norichika,493114,2016,466,118,86,24,4,4,9.7,7.3,.283,.237,12.5,47.9,4.08,27.2
Kawasaki, Munenori,493128,2016,26,7,5,2,0,0,19.2,15.4,.333,.230,21.4,39.3,,28.5
Lee, Dae-Ho,493193,2016,317,74,51,9,0,14,23.3,6.3,.253,.261,23.5,47.3,5.1,23.1
